hs1	60000000	69999999	4
hs1	130000000	139999999	0
hs1	200000000	209999999	1
hs1	1	9999999	2
hs1	10000000	19999999	0
hs1	20000000	29999999	6
hs1	30000000	39999999	0
hs1	40000000	49999999	2
hs1	50000000	59999999	1
hs1	70000000	79999999	2
hs1	80000000	89999999	0
hs1	90000000	99999999	0
hs1	100000000	109999999	0
hs1	110000000	119999999	1
hs1	120000000	129999999	0
hs1	140000000	149999999	0
hs1	150000000	159999999	2
hs1	160000000	169999999	0
hs1	170000000	179999999	2
hs1	180000000	189999999	1
hs1	190000000	199999999	0
hs1	210000000	219999999	2
hs1	220000000	229999999	5
hs1	230000000	239999999	0
hs1	240000000	249250621	1
hs10	60000000	69999999	1
hs10	130000000	135534747	3
hs10	1	9999999	2
hs10	10000000	19999999	2
hs10	20000000	29999999	1
hs10	30000000	39999999	1
hs10	40000000	49999999	3
hs10	50000000	59999999	1
hs10	70000000	79999999	2
hs10	80000000	89999999	1
hs10	90000000	99999999	1
hs10	100000000	109999999	0
hs10	110000000	119999999	5
hs10	120000000	129999999	1
hs11	60000000	69999999	0
hs11	130000000	135006516	0
hs11	1	9999999	5
hs11	10000000	19999999	1
hs11	20000000	29999999	2
hs11	30000000	39999999	3
hs11	40000000	49999999	2
hs11	50000000	59999999	0
hs11	70000000	79999999	1
hs11	80000000	89999999	3
hs11	90000000	99999999	1
hs11	100000000	109999999	3
hs11	110000000	119999999	3
hs11	120000000	129999999	1
hs12	60000000	69999999	2
hs12	1	9999999	1
hs12	10000000	19999999	3
hs12	20000000	29999999	1
hs12	30000000	39999999	1
hs12	40000000	49999999	0
hs12	50000000	59999999	0
hs12	70000000	79999999	1
hs12	80000000	89999999	1
hs12	90000000	99999999	3
hs12	100000000	109999999	0
hs12	110000000	119999999	0
hs12	120000000	129999999	3
hs12	130000000	133851895	0
hs13	60000000	69999999	2
hs13	1	9999999	0
hs13	10000000	19999999	0
hs13	20000000	29999999	3
hs13	30000000	39999999	2
hs13	40000000	49999999	0
hs13	50000000	59999999	2
hs13	70000000	79999999	2
hs13	80000000	89999999	2
hs13	90000000	99999999	3
hs13	100000000	109999999	1
hs13	110000000	115169878	0
hs14	60000000	69999999	3
hs14	1	9999999	0
hs14	10000000	19999999	0
hs14	20000000	29999999	2
hs14	30000000	39999999	3
hs14	40000000	49999999	0
hs14	50000000	59999999	2
hs14	70000000	79999999	2
hs14	80000000	89999999	1
hs14	90000000	99999999	2
hs14	100000000	107349540	1
hs15	60000000	69999999	1
hs15	1	9999999	0
hs15	10000000	19999999	0
hs15	20000000	29999999	0
hs15	30000000	39999999	3
hs15	40000000	49999999	1
hs15	50000000	59999999	2
hs15	70000000	79999999	0
hs15	80000000	89999999	0
hs15	90000000	99999999	5
hs15	100000000	102531392	1
hs16	60000000	69999999	1
hs16	1	9999999	3
hs16	10000000	19999999	1
hs16	20000000	29999999	0
hs16	30000000	39999999	0
hs16	40000000	49999999	1
hs16	50000000	59999999	1
hs16	70000000	79999999	0
hs16	80000000	89999999	4
hs16	90000000	90354753	0
hs17	60000000	69999999	1
hs17	1	9999999	4
hs17	10000000	19999999	2
hs17	20000000	29999999	2
hs17	30000000	39999999	2
