SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00139,EUR,0.2,1000GP,-0.0173086,0.016207,0.0114156,0.0102294,0.0071511,-0.0212424,0.00528743,0.0224953,0.0189657,0.0343435
HG00140,EUR,0.2,1000GP,-0.0195453,0.0182802,-0.00366969,0.0131638,0.0078492,0.0155834,0.00400396,0.00599317,0.00902985,-0.0394449
HG00141,EUR,0.2,1000GP,-0.0193245,0.0285762,0.0288021,0.0332389,-0.00759469,-0.00706941,0.0267888,0.0163648,0.00475719,0.0223864
HG00142,EUR,0.2,1000GP,-0.010442,0.029299,0.0119165,0.0211826,0.00661962,-0.0202745,-0.0155563,-0.0161054,-0.0243859,-0.0133595
HG00143,EUR,0.2,1000GP,-0.0119049,0.0162859,0.00847354,0.0110046,0.0135203,0.00347046,-0.0242962,0.0182598,0.00342032,0.000766529
HG00145,EUR,0.2,1000GP,-0.0139167,0.0166573,0.0147064,0.0131217,-0.00587316,0.00925101,-0.00322105,-0.0114734,0.0251269,0.0139324
HG00146,EUR,0.2,1000GP,-0.0177996,0.0175173,0.0117177,0.0090654,-0.00461744,0.000287009,-0.00505087,0.00765071,0.0255097,-0.018829
HG00148,EUR,0.2,1000GP,-0.0167481,0.0239628,0.0167585,0.0124661,-0.00860011,0.0120459,-0.00877413,-0.0150103,-0.000238553,-0.00087944
HG00149,EUR,0.2,1000GP,-0.0173357,0.0220296,0.0280013,0.0119485,-0.0413497,-0.00253413,-0.0170669,-0.0190821,0.0229883,0.0417291
HG00150,EUR,0.2,1000GP,-0.00874302,0.024043,0.0147238,0.015219,0.0392894,-0.0226443,0.00157547,-0.00361972,0.00818497,0.00366922
HG00151,EUR,0.2,1000GP,-0.0124985,0.0131628,0.000464248,0.0146897,0.00530313,0.00768308,-0.0278749,0.00833079,0.00565699,0.0488553
HG00154,EUR,0.2,1000GP,-0.0141122,0.0236455,0.00649574,0.0312167,-0.00198467,0.00542053,-0.000762867,-0.0133206,0.0125048,-0.0126953
HG00155,EUR,0.2,1000GP,-0.0135612,0.0216128,0.0181808,0.0133862,-0.0162532,0.00337172,-0.0192208,0.0300037,-0.0142286,-0.0317743
HG00157,EUR,0.2,1000GP,-0.0120172,0.0266768,0.0136149,0.006491,0.0349565,-0.0243532,0.0233462,0.0126023,-0.00652013,-0.0319622
HG00158,EUR,0.2,1000GP,-0.0118736,0.0218739,0.017221,0.0246234,0.0234068,0.0117227,0.0106331,0.00613217,-0.0082617,0.021223
HG00159,EUR,0.2,1000GP,-0.0191223,0.0222318,-0.000226983,0.0125824,-0.00571486,-0.0185336,-0.000420282,-0.00709289,-0.0254201,0.00365241
HG00160,EUR,0.2,1000GP,-0.0106158,0.0192789,0.0237779,0.0189975,0.0110099,-0.0304182,0.00995865,0.0231993,0.0288711,-0.0263582
HG00171,EUR,0.2,1000GP,-0.0152872,0.00963449,0.0141837,-0.00386492,-0.00527033,-0.00758076,0.00131342,-0.011736,0.00387107,-0.00799564
HG00173,EUR,0.2,1000GP,-0.0145073,0.0203176,0.0183147,0.00760984,-0.0196489,-0.0354838,-0.00912567,-0.00168151,-0.0249145,0.0341292
HG00174,EUR,0.2,1000GP,-0.0174713,0.0304913,0.0268049,0.015447,-0.0125154,-0.031529,0.00397111,-0.0137082,0.0125502,0.0241932
HG00176,EUR,0.2,1000GP,-0.0140876,0.024042,0.0270353,0.0246739,-0.00719969,-0.041761,-0.00377039,-0.0133321,-0.00161149,0.0194464
HG00177,EUR,0.2,1000GP,-0.00718946,0.0177293,0.024221,0.00293945,0.0131454,-0.0788333,-0.0310483,-0.00567245,-0.0327749,0.0358865
HG00178,EUR,0.2,1000GP,-0.0165096,0.0216419,0.0212483,0.0209173,0.00196936,-0.0364057,-0.0242865,-0.00264486,0.0171468,0.00406857
HG00179,EUR,0.2,1000GP,-0.0105668,0.0137733,0.0167121,0.00879844,-0.00409809,-0.0395276,-0.0437871,0.00947882,0.0533017,-0.00540896
HG00180,EUR,0.2,1000GP,-0.0157184,0.0133405,0.0120681,0.0175182,0.00310513,-0.0445139,-0.0251839,-0.0120619,0.00835168,0.0255748
HG00181,EUR,0.2,1000GP,-0.0219636,0.0158112,0.0156586,0.0278331,0.00380448,-0.0305746,0.0164033,0.0141035,-0.00259935,0.0403753
HG00182,EUR,0.2,1000GP,-0.00780761,0.0178455,0.0226888,0.0183707,0.0263952,-0.036723,-0.0217646,-0.0234528,0.000543969,0.0284263
HG00183,EUR,0.2,1000GP,-0.0222956,0.0236236,0.0174598,0.020679,-0.0108374,-0.0871224,0.0135393,3.98E-05,0.00208247,0.012138
HG00185,EUR,0.2,1000GP,-0.01044,0.0182907,0.0123345,0.0125557,-0.0159351,-0.00880041,0.00351287,-0.014586,0.00871583,0.00381183
HG00186,EUR,0.2,1000GP,-0.0149351,0.0134924,0.0273731,0.0134373,0.00271527,-0.0607326,0.00155024,-0.0385123,0.0158638,0.0202215
HG00187,EUR,0.2,1000GP,-0.0148575,0.00870671,0.0239939,0.0177158,0.00997742,-0.0217024,-0.0202617,-2.08E-05,0.0136168,-0.00671235
HG00188,EUR,0.2,1000GP,-0.0121656,0.0192127,0.0013424,0.0303351,0.00312163,-0.0263368,-0.0267725,-0.000160725,0.0386755,-0.00033335
HG00189,EUR,0.2,1000GP,-0.0121676,0.00588576,0.0279707,0.0266688,-0.0126921,-0.0490694,-0.000545473,-0.0416876,0.00768453,0.0189571
HG00190,EUR,0.2,1000GP,-0.00753077,0.0226799,0.0189103,0.00171114,0.0118631,-0.00465893,-0.0357357,0.0335868,-0.00574297,0.0255523
HG00231,EUR,0.2,1000GP,-0.0117691,0.0287089,0.0173536,0.0131593,-0.00610348,4.17E-05,0.0307622,0.0029311,0.025577,-0.0386935
HG00232,EUR,0.2,1000GP,-0.0180246,0.0175951,0.0207439,0.0213365,-0.0127968,-0.00238599,0.0213751,-0.0195088,-0.00867867,-0.00645227
HG00233,EUR,0.2,1000GP,-0.0174981,0.021929,0.0238812,-0.00147697,0.0371038,-0.00928383,0.0555192,-0.0330939,-0.0236385,-0.00229167
HG00234,EUR,0.2,1000GP,-0.0161304,0.0156772,0.0110389,0.0240988,-0.0031184,0.0146636,-0.00235168,-0.00326962,-0.00870741,-0.00654154
HG00235,EUR,0.2,1000GP,-0.0208294,0.0225128,0.00919074,0.0173274,0.000453317,0.0102339,-0.0109708,0.0377043,0.00485529,0.00540961
HG00236,EUR,0.2,1000GP,-0.0155896,0.0253105,0.00140027,0.0277348,-0.0417289,0.00696796,0.0215287,0.0419129,0.0178774,-0.015345
HG00237,EUR,0.2,1000GP,-0.0180059,0.0200959,0.000869819,0.00557102,-0.00672496,-0.0253687,-0.0132964,0.0162187,-0.0269201,-0.00295914
HG00238,EUR,0.2,1000GP,-0.0174928,0.0144466,0.0127398,0.028459,0.0180133,0.0169902,0.0312922,0.0307992,-0.00961402,-0.0166725
HG00239,EUR,0.2,1000GP,-0.012407,0.0285995,0.0241505,0.00429867,-0.00183164,0.0181554,-0.00346223,0.0179499,-0.0205964,0.0167198
HG00240,EUR,0.2,1000GP,-0.0116711,0.0166284,0.0250294,0.0163822,0.00656187,0.00412408,0.0248973,-0.0033367,-0.00689807,-0.0175143
HG00242,EUR,0.2,1000GP,-0.0163122,0.0236678,0.0115471,0.00557218,0.025603,0.0115908,0.00430068,-0.0223737,-0.0163935,0.00664305
HG00243,EUR,0.2,1000GP,-0.0138591,0.0147743,-0.00579368,0.0135446,0.0104943,-0.00729534,-0.0166998,0.00380672,-0.000752289,-0.0193949
HG00244,EUR,0.2,1000GP,-0.01149,0.023598,0.0139896,0.0278764,0.00066495,0.010717,-0.0410997,0.00404238,-0.00110873,-0.00327654
HG00245,EUR,0.2,1000GP,-0.0147841,0.0170744,0.00595416,0.0160525,0.00492538,0.0262959,0.00874505,0.015239,0.0311639,-0.021346
HG00246,EUR,0.2,1000GP,-0.0155391,0.0219738,0.0121591,0.0137235,0.0214488,0.012393,-0.0276249,-0.0446496,0.0160804,0.0195297
HG00250,EUR,0.2,1000GP,-0.00883771,0.0276657,0.0248531,0.0181229,-0.0204319,0.0162976,0.0231076,-0.011394,-0.00572416,0.0194215
HG00251,EUR,0.2,1000GP,-0.00995186,0.0146799,0.0173775,0.0222117,0.00332974,0.00638618,0.0120272,0.000975675,0.00749614,-0.00611275
HG00252,EUR,0.2,1000GP,-0.0176079,0.0243684,0.0193582,0.0173724,0.0106505,0.00248035,0.0157769,-0.014496,-0.00215009,-0.000833254
HG00253,EUR,0.2,1000GP,-0.0133125,0.0240343,0.0127685,0.0186194,0.0096147,0.0131819,0.00321062,-0.00876315,-0.0235343,0.0244124
HG00254,EUR,0.2,1000GP,-0.0112677,0.0177946,0.0280226,0.000401092,-0.00892805,0.00553706,0.028957,0.0506265,0.0116106,-0.0025247
HG00255,EUR,0.2,1000GP,-0.015578,0.0142775,0.0188161,0.000833117,0.00142036,-0.00842159,-0.00504459,-0.0281739,0.0119504,-0.0326068
HG00256,EUR,0.2,1000GP,-0.0200189,0.0236177,0.0136762,0.0280153,0.0158807,-0.00397156,0.0109086,0.00490339,-0.0327004,0.00920319
