SAMPLE,POPULATION,ALPHA,GROUP,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG01810,EAS,0.2,1000GP,-0.0195711,-0.0309718,0.00321514,0.0195546,0.0372381,0.0151463,0.0103224,-0.0269478,0.0237725,-0.0188384
HG01811,EAS,0.2,1000GP,-0.0101567,-0.0314039,0.00936675,0.0115092,0.0571473,0.00761953,0.0132944,-0.0059846,0.01848,0.0319115
HG01812,EAS,0.2,1000GP,-0.00745626,-0.0343705,0.00356895,0.00326357,0.00613472,-0.00292921,-0.0146374,0.0108093,0.000418121,-0.00203184
HG01813,EAS,0.2,1000GP,-0.00520075,-0.0473286,0.00586435,-0.00362936,0.0555283,0.0126593,-0.00106942,0.00126757,-0.0123774,-0.0278868
HG01815,EAS,0.2,1000GP,-0.00373363,-0.0253472,-0.00320807,0.0253265,0.0480898,-0.011966,0.0122812,-0.0175399,0.0092098,0.0216813
HG01816,EAS,0.2,1000GP,-0.0191072,-0.03555,0.00564256,0.0141834,0.0620806,0.0173768,-0.0153562,-0.0187577,-0.0234066,0.00608351
HG01817,EAS,0.2,1000GP,-0.0141678,-0.0348395,-0.00371835,0.0338349,0.0294174,-0.0157747,-0.00856102,0.0133422,-0.000241859,0.0175933
HG01840,EAS,0.2,1000GP,-0.00609956,-0.037891,-0.0123794,0.0108218,0.0522354,-0.0111572,0.0010443,0.00400629,0.00999118,-0.0127991
HG01841,EAS,0.2,1000GP,-0.00647034,-0.0403304,0.0108871,0.00442293,0.0374752,0.00855081,0.00381015,0.00764112,-0.010655,-0.00521369
HG01842,EAS,0.2,1000GP,-0.0129117,-0.0325736,-0.0103674,0.0119921,0.0252021,-0.0249194,-0.0223751,0.0297475,-0.0106439,0.00017281
HG01843,EAS,0.2,1000GP,-0.0101694,-0.0309525,0.0071316,0.0236261,0.00517095,0.0186813,0.0020804,-0.00708094,0.0113515,-0.0122227
HG01844,EAS,0.2,1000GP,-0.00903154,-0.0351145,-0.00739887,0.0223123,0.0404949,0.0295307,-0.00105974,-0.00364301,0.0455302,-0.0204235
HG01845,EAS,0.2,1000GP,-0.00727816,-0.0275818,-0.0103859,0.00458209,0.0329094,0.0433911,-0.0125847,-0.00381202,-0.0291171,-0.000782708
HG01846,EAS,0.2,1000GP,-0.0130196,-0.0322788,0.0115615,0.0100902,0.00950414,-0.017064,-0.0296184,0.00329388,0.0101988,0.0113609
HG01847,EAS,0.2,1000GP,-0.0128785,-0.0374322,-0.000777936,0.018264,0.0342687,-0.00946986,0.0418647,-0.0220909,0.00782233,-0.00429647
HG01848,EAS,0.2,1000GP,-0.0119137,-0.0269814,-0.00346291,0.015333,0.0129301,-0.00137088,0.0168899,0.00916652,0.00889038,0.027314
HG01849,EAS,0.2,1000GP,-0.0104864,-0.0332374,-0.0149648,0.00134873,0.00769925,0.010875,-0.00219441,0.00773381,-0.0109483,-0.0116941
HG01850,EAS,0.2,1000GP,-0.0132518,-0.0330883,-0.00237614,0.0164412,0.0448698,-0.0221171,0.0108761,-0.00352265,-0.0167762,-0.0191513
HG01851,EAS,0.2,1000GP,-0.00526579,-0.033832,-0.000222505,0.0118127,0.0420289,0.00315676,-0.00872672,-0.0136329,-0.014145,0.00607222
HG01852,EAS,0.2,1000GP,-0.0118852,-0.036795,-0.000684112,-0.00349501,0.0207319,-0.00657226,0.0105536,0.0172432,0.00245436,-0.0275778
HG01853,EAS,0.2,1000GP,-0.0123517,-0.0267389,-7.13E-05,0.00157401,0.0355359,0.0166987,-0.00525677,-0.0102143,-0.0178327,-0.00395503
HG01855,EAS,0.2,1000GP,-0.0144334,-0.0291767,0.008891,0.00444459,0.0417109,0.0102521,-0.025215,-0.00833049,0.0498025,-0.0222208
HG01857,EAS,0.2,1000GP,-0.011814,-0.0353278,0.011028,0.0112031,0.0254313,-0.00290855,0.00740339,0.00120658,-0.00422961,0.020151
HG01858,EAS,0.2,1000GP,-0.00954074,-0.037232,-0.0121229,-0.001328,0.0348263,-0.0281776,-0.00182888,-0.000817266,0.0144526,0.00872284
HG01859,EAS,0.2,1000GP,-0.00484345,-0.0421208,-0.0114762,0.0176946,0.0171268,0.00478628,0.0296184,0.0245959,-0.0254975,0.0200557
HG01860,EAS,0.2,1000GP,-0.0105747,-0.0315093,-0.0101934,-0.00386279,0.0159186,0.00276385,-0.0279494,-0.00427965,0.0178575,-0.0264095
HG01861,EAS,0.2,1000GP,-0.00902422,-0.0291406,-0.000542278,0.0144413,0.0133808,-0.00914652,-0.012268,-0.0194942,-0.00446388,-0.0172684
HG01862,EAS,0.2,1000GP,-0.00947891,-0.0249651,0.0102467,0.0116919,0.0371091,0.00142247,0.019751,-0.0230331,0.0162069,-0.010617
HG01863,EAS,0.2,1000GP,-0.010519,-0.0398936,-0.0115321,0.0168094,0.00227107,0.00974103,-0.0136788,0.00464122,-0.0283204,-0.00402282
HG01864,EAS,0.2,1000GP,-0.0137706,-0.0361942,0.000772319,0.0193971,0.0086645,0.0295663,0.00780582,-0.0199051,0.00259594,-0.0173523
HG01865,EAS,0.2,1000GP,-0.0110315,-0.0348849,-0.00650523,0.0297474,0.0101166,0.00184262,-0.0268516,-0.0127163,-0.0190864,0.0258896
HG01866,EAS,0.2,1000GP,-0.0108127,-0.0346848,0.00383619,0.00648811,0.0356164,0.0134419,-0.0164523,0.0234542,0.0132225,-0.00890791
HG01867,EAS,0.2,1000GP,-0.00586147,-0.0272133,-0.00823609,0.0135139,0.0280514,-0.00275909,-0.00913724,0.00776867,-0.0279923,0.0364288
HG01868,EAS,0.2,1000GP,-0.00992504,-0.0421486,0.0147778,0.00315579,0.0374963,0.018554,0.00939893,-0.00487721,0.0280905,0.00799188
HG01869,EAS,0.2,1000GP,-0.00528559,-0.0346933,-0.00738042,0.0108386,0.00856347,0.0194507,-0.0318243,-0.01001,0.0237089,0.00583666
HG01870,EAS,0.2,1000GP,-0.00949236,-0.0390259,0.00755504,0.00874021,0.0138212,-0.0166875,-0.00253974,0.00975869,0.0196335,0.012338
HG01871,EAS,0.2,1000GP,-0.0157962,-0.0349503,0.00543372,0.0264666,0.00568235,-0.0017343,-0.0223649,0.0173931,0.0248525,-0.00193177
HG01872,EAS,0.2,1000GP,-0.00748218,-0.0258221,0.00222824,0.00842725,0.0306957,-0.0189709,-0.0224764,0.0286898,0.00967856,0.0296632
HG01873,EAS,0.2,1000GP,-0.0118333,-0.0308698,0.00377731,0.024774,0.013315,0.00631968,0.0115834,-0.0263917,0.000511978,-0.0334843
HG01874,EAS,0.2,1000GP,-0.0143116,-0.036715,-0.00483899,-0.0149338,0.0323651,-0.00963177,0.0077917,0.0429054,0.0115513,0.0109905
HG01878,EAS,0.2,1000GP,-0.0108949,-0.0315186,0.00631408,-0.00401985,-0.000574866,-0.00511132,-0.0147552,-0.0226199,-0.00376889,-0.0266208
HG01879,AFR,0.2,1000GP,0.0229001,0.00344912,0.00107396,-0.00790206,0.0102784,0.00326457,0.00319906,0.0269375,0.0180232,0.0255431
HG01880,AFR,0.2,1000GP,0.0101891,-0.0030246,-0.0185122,0.0111011,0.0106752,-0.00754748,0.0150928,0.0208782,-0.00470969,-0.0572982
HG01882,AFR,0.2,1000GP,0.0289968,0.00594106,0.00661784,-0.00887176,0.00722855,0.012707,-0.0133637,-0.00217175,0.00279803,-0.0209409
HG01883,AFR,0.2,1000GP,0.0265347,0.000876974,-0.00999693,0.0242938,0.0215502,0.0449965,-0.0667231,-0.00423218,-0.00248289,-0.0363646
HG01885,AFR,0.2,1000GP,0.0331933,0.00886484,0.00285344,-0.00355416,0.00235831,0.0150202,-0.0158244,0.031113,-0.0246545,-0.0150798
HG01886,AFR,0.2,1000GP,0.0305318,0.0001109,0.00951217,0.00426744,0.0173123,-0.0248191,-0.0226771,-0.0260031,0.0287547,0.0152861
HG01889,AFR,0.2,1000GP,0.0392393,0.00628253,0.000809288,0.00401966,0.00295399,0.0110867,-0.0184315,-0.00315939,0.0083503,0.0187764
HG01890,AFR,0.2,1000GP,0.0362655,-0.00219233,-0.00149139,0.00521696,4.01E-05,0.021343,-0.0142544,-0.0214014,-0.0137033,-0.0296887
HG01892,AMR,0.2,1000GP,-0.014514,-0.00675722,0.0333822,-0.0678087,0.0166667,-0.0161019,0.034132,-0.0190557,-0.038418,-0.0060149
HG01893,AMR,0.2,1000GP,-0.0054457,0.00879416,0.0173923,-0.0362528,0.00603808,0.0279859,0.0143378,-0.00356849,0.00715807,0.00724322
HG01894,AFR,0.2,1000GP,0.0281018,0.00478655,-0.00774076,-0.0122712,0.00247296,0.00883732,0.00292331,-0.0184356,-0.0137948,0.0273861
HG01896,AFR,0.2,1000GP,0.0326599,-0.00576392,0.00717656,0.00694661,-0.000764858,-0.0122185,-0.00434685,-0.0181061,-0.0018351,0.0086467
HG01912,AFR,0.2,1000GP,0.0296808,-0.00065442,0.0110866,0.0174675,-0.0211086,0.00481338,-0.0102441,-0.0246106,0.00786238,-0.00860673
HG01914,AFR,0.2,1000GP,0.0290156,0.00761438,0.0131731,0.0223947,0.0375901,0.0077754,-0.0274735,-0.00966508,-0.0207388,0.0196983
HG01915,AFR,0.2,1000GP,0.0361569,-0.00158379,0.00784565,-0.00698409,0.034412,-0.0133649,0.0361393,0.0212998,0.0152166,-0.00108534
HG01917,AMR,0.2,1000GP,-0.0100873,-0.0134777,0.02885,-0.0915252,0.00472484,0.00439768,0.00744009,0.0156767,0.0057639,4.73E-05
HG01918,AMR,0.2,1000GP,-0.00694309,-0.00382282,0.00564203,-0.0621325,0.0286073,-0.0156483,0.0231373,0.0344386,-0.00500421,0.00244999
HG01920,AMR,0.2,1000GP,-0.0202825,-0.0145893,0.0310632,-0.091794,-0.00748898,-0.00495802,-0.0386631,0.0355289,-0.0370614,0.0436755
HG01921,AMR,0.2,1000GP,-0.0112473,-0.0134828,0.0328737,-0.0613677,0.0194553,0.0189066,-0.0196992,0.0123313,-0.0136592,-0.000305609
HG01923,AMR,0.2,1000GP,-0.0124599,-0.00846566,0.0308618,-0.090771,0.0205439,-0.00251614,-0.0101643,0.012211,0.00766938,0.00701602
HG01924,AMR,0.2,1000GP,-0.0106846,-0.00817977,0.0255129,-0.0732781,0.00586467,-0.00878642,-0.00268467,0.0211788,0.0159362,0.0037221
HG01926,AMR,0.2,1000GP,-0.0144638,-0.0181752,0.0338156,-0.0900918,0.0159525,0.00692055,0.00562871,0.0058953,-0.0046327,-0.0084077
HG01927,AMR,0.2,1000GP,-0.0143437,-0.0051701,0.0365774,-0.0877204,-0.0182328,0.0128203,-0.0164549,0.00259016,0.000219145,0.00262158
HG01932,AMR,0.2,1000GP,-0.0166809,-0.00449986,0.0430884,-0.0790004,-0.000773107,-0.00664292,-0.00428237,0.00418731,-0.0115331,-0.00952858
HG01933,AMR,0.2,1000GP,-0.00849205,-0.00852321,0.0250227,-0.0783595,-0.00708471,0.000713777,-0.00252178,0.00300929,-0.00193912,0.0316382
HG01935,AMR,0.2,1000GP,-0.0140955,-0.0128317,0.0250326,-0.0547589,-0.017948,0.0158378,-0.00113214,0.0082436,0.0336976,0.0143042
HG01936,AMR,0.2,1000GP,-0.010184,-0.00943328,0.0303092,-0.0627,-0.00964573,0.00484917,-0.0135175,-0.0108082,-0.0091712,-0.00277462
HG01938,AMR,0.2,1000GP,-0.0164132,-0.0165451,0.0384446,-0.089223,0.0124095,0.0157664,0.0300978,-0.0152069,0.0011398,0.0400955
HG01939,AMR,0.2,1000GP,-0.0166909,-0.00154845,0.0315218,-0.0790207,-0.0168788,0.0281198,-0.0167702,0.00300664,-0.0177838,-0.00528643
HG01941,AMR,0.2,1000GP,-0.0181622,-0.00898526,0.0354437,-0.0702958,-0.012439,-0.0206437,0.0157179,-0.000413369,0.00309796,-0.0301378
HG01942,AMR,0.2,1000GP,-0.0199705,-0.00989568,0.0239579,-0.0828818,-0.0196755,0.0124695,0.00524752,0.0067016,-0.0260274,-0.00414463
HG01944,AMR,0.2,1000GP,-0.0194798,-0.0178538,0.0299774,-0.0378759,-0.0153172,-0.0122795,-0.00283953,-0.0199442,0.015411,-0.0228598
HG01945,AMR,0.2,1000GP,-0.00944304,-0.00546714,0.0210849,-0.0726472,0.00820271,0.00748112,-0.0548559,0.0180821,0.0259231,0.00136475
HG01947,AMR,0.2,1000GP,-0.0167267,0.00120767,0.0404749,-0.0484503,0.00164986,0.00264427,0.000883911,-0.00051727,-0.00625637,0.0205843
HG01948,AMR,0.2,1000GP,-0.00111942,-0.0102345,0.0269832,-0.0562851,0.0273361,-0.009024,-0.0125796,-0.00150251,0.00183269,0.00903996
HG01950,AMR,0.2,1000GP,-0.0123709,-0.0181644,0.0394391,-0.0529988,-0.0118572,-0.0127977,0.00562824,-0.0159498,0.00340102,-0.0181765
HG01951,AMR,0.2,1000GP,-0.0161141,-0.0132861,0.025985,-0.10425,-0.00326359,-0.00422565,0.0218715,0.00425758,-0.0168509,0.0042859
HG01953,AMR,0.2,1000GP,-0.00864527,-0.00617499,0.0367158,-0.0890288,0.0148857,0.014504,-0.0283731,-0.0223114,0.0232228,-0.00485732
HG01954,AMR,0.2,1000GP,-0.014319,-0.0123625,0.0336804,-0.100346,0.0192225,0.0160514,-0.00917515,-0.0101268,-0.0119414,0.0279638
HG01956,AFR,0.2,1000GP,0.0281195,-0.00109216,0.00381936,-0.0186913,0.0131982,-0.0111938,0.00192542,-0.0288494,-0.0146589,0.00868862
HG01958,AFR,0.2,1000GP,0.0285155,0.0119908,0.00748076,0.0158244,0.0269875,-0.0155154,-0.0345834,0.0369588,-0.0256475,-0.0190643
HG01961,AMR,0.2,1000GP,-0.0180923,-0.0121879,0.0287986,-0.0908729,-0.00612971,0.00885603,0.0223903,0.00174821,-0.014254,-0.00165564
HG01965,AMR,0.2,1000GP,-0.0104859,-0.00197806,0.0256456,-0.052693,0.0249386,-0.0146722,0.0121891,-0.0291648,-0.00486077,-0.0193807
HG01967,AMR,0.2,1000GP,-0.0103126,0.00142688,0.0394759,-0.0561069,0.0103092,-0.00321705,-0.0325146,-0.0231246,-0.0109114,-0.0216531
HG01968,AMR,0.2,1000GP,-0.00602166,-0.0146488,0.0391041,-0.0952129,0.00806085,-0.00351644,-0.00379853,-0.00123767,0.0224552,-0.0293357
HG01970,AMR,0.2,1000GP,-0.0170565,0.00853137,0.0271631,-0.0520029,0.00537959,0.0075391,-0.00219484,-0.0099152,-0.00977843,0.0310436
HG01971,AMR,0.2,1000GP,-0.00916281,-0.00384897,0.0454225,-0.053661,-0.000896872,0.0539561,-0.0037915,-0.0330482,0.014557,0.00340674
HG01973,AMR,0.2,1000GP,-0.0132372,-0.00612017,0.0463237,-0.073964,0.0233702,0.0371166,0.00211369,-0.0321703,-0.0161935,-0.00322596
HG01974,AMR,0.2,1000GP,-0.0189437,-0.00997379,0.0375361,-0.0746247,-0.0247032,-0.024946,-0.0417959,-0.0056415,0.0165403,-0.0109146
HG01976,AMR,0.2,1000GP,-0.00945513,0.000212228,0.0314535,-0.0761382,0.00759725,-0.000531372,0.027089,0.0121085,-0.00411956,-0.0179816
HG01977,AMR,0.2,1000GP,-0.0118669,-0.013911,0.0314396,-0.0680222,0.00975024,0.00936138,-0.0305608,0.0162566,0.0242219,-0.00587836
HG01979,AMR,0.2,1000GP,-0.0119112,-0.00844803,0.0240912,-0.0759867,-0.00804982,-0.0371009,-0.0160369,0.00377672,-0.0531671,0.00801477
HG01980,AMR,0.2,1000GP,-0.0165067,-0.0104186,0.0327545,-0.0574545,0.0120175,-0.00148581,-0.0104551,-0.00273433,0.00689158,-0.00926568
HG01982,AMR,0.2,1000GP,-0.0152881,-0.00690259,0.0339114,-0.0637186,0.0191082,0.00754869,0.00948594,-0.0111596,-0.000178043,-0.00762795
HG01985,AFR,0.2,1000GP,0.0321625,0.0131793,0.00901677,-0.0127287,-0.0190768,-0.0053563,-0.0149163,0.0156395,0.0161801,-0.029977
HG01986,AFR,0.2,1000GP,0.027157,0.0115552,0.00666151,0.00226642,0.0467424,-0.0142656,0.0131647,0.0196012,-0.000829236,-0.00494
HG01988,AFR,0.2,1000GP,0.0107863,0.0233696,0.00334718,0.00423244,0.0359104,-0.00418532,-0.0257125,0.0174428,0.0129115,-0.0221989
HG01989,AFR,0.2,1000GP,0.0341709,0.0084883,0.00555405,-0.00867127,0.0122657,-0.017914,0.0248254,-0.0223656,0.0181183,-0.0144498
HG01990,AFR,0.2,1000GP,0.0261643,0.0041429,-0.00521368,0.00191763,0.00545794,-0.00361874,0.038279,-0.0079919,-0.0309682,-0.00884161
HG01991,AMR,0.2,1000GP,-0.0246045,-0.00367326,0.0356461,-0.0613648,0.00779671,0.0219662,-0.0188119,0.031746,-0.0153856,-0.0130207
HG01992,AMR,0.2,1000GP,-0.0152311,-0.0133808,0.0385723,-0.0708529,0.0267569,0.00567706,-0.0158578,0.00184407,-0.0199007,0.0294893
HG01997,AMR,0.2,1000GP,-0.0140821,-0.0096765,0.0279192,-0.070223,0.0156459,-0.00428268,0.0290632,-0.000167362,-0.00633902,-0.0160694
HG02002,AMR,0.2,1000GP,-0.0166333,-0.00248679,0.0366833,-0.0528689,-0.0179266,0.0165063,0.0187239,-0.00199192,-0.00271714,0.0208498
HG02003,AMR,0.2,1000GP,-0.0205756,-0.00768901,0.0230277,-0.0700713,0.0115578,-0.00651383,0.00451322,0.00150749,-0.016873,0.00199661
HG02006,AMR,0.2,1000GP,0.00524725,-0.00347612,0.0218006,-0.0348602,0.0106896,0.0152061,0.00671475,-0.019302,-0.0249796,-0.0116204
HG02008,AMR,0.2,1000GP,-0.0187592,-0.00297,0.0518671,-0.0589091,0.019147,-0.0150778,-0.0201666,-0.00302876,-0.000510898,-0.0183696
HG02009,AFR,0.2,1000GP,0.0192202,0.00157908,0.00592591,0.00457294,-0.0204606,-0.0119409,-0.016367,0.0621331,-0.0290521,0.0193755
HG02010,AFR,0.2,1000GP,0.0209048,0.00854408,-0.00544452,0.000848749,0.0376371,-0.0141924,-0.0274739,0.00866717,-0.00712462,0.00896912
HG02012,AFR,0.2,1000GP,0.0366909,0.00895313,-0.00379413,-0.00202699,-0.03574,-0.0187074,0.00762654,-0.00279363,-0.0182232,-0.0100732
HG02013,AFR,0.2,1000GP,0.0380839,0.0125909,-0.00658638,0.00322558,0.0244333,-0.000990038,-0.0204681,0.00468307,0.0243066,0.00790355
HG02014,AFR,0.2,1000GP,0.0243919,0.000932282,0.00824395,-0.0093162,-0.0204963,0.00439615,0.012877,0.0178641,0.01044,-0.00570306
HG02016,EAS,0.2,1000GP,-0.00878661,-0.0368973,-0.0039596,0.023832,0.0377185,-0.0201243,-0.0108881,0.0289765,0.0208577,0.00914254
HG02017,EAS,0.2,1000GP,-0.0156841,-0.0349968,-0.00825018,0.00614755,0.0206419,0.0159377,-0.02202,0.00178454,0.00926086,-0.00340399
HG02019,EAS,0.2,1000GP,-0.00716219,-0.0362244,-0.0124744,0.00799249,0.0412636,0.022648,-0.00269482,-0.0381837,-0.0176417,-0.0223117
HG02020,EAS,0.2,1000GP,-0.00941588,-0.0303559,-0.00371707,0.019019,0.0318519,0.00824428,0.015458,-0.00783063,-6.75E-05,-0.0228093
HG02023,EAS,0.2,1000GP,-0.00809876,-0.0332037,-0.00105947,0.0146794,0.0270786,-0.00750471,0.0138672,0.013456,-0.0417167,0.0358705
HG02025,EAS,0.2,1000GP,-0.0118771,-0.0337697,-0.000830762,0.00981163,0.0178468,0.000285504,-0.0258015,-0.00758951,-0.0175109,-0.0290628
HG02026,EAS,0.2,1000GP,-0.00866298,-0.0351191,-0.00784184,0.0167626,0.026205,0.00721719,0.00764429,0.0301155,0.00797041,-0.0203168
HG02028,EAS,0.2,1000GP,-0.0065385,-0.0365926,0.000739817,0.0168144,0.0176084,-0.000823213,0.00192626,0.0134316,0.02104,-0.016366
HG02029,EAS,0.2,1000GP,-0.00774584,-0.0356618,-0.0024181,0.0142408,0.0334854,0.025911,-0.00119775,-0.0305038,0.0100086,-0.0505569
HG02031,EAS,0.2,1000GP,-0.0106479,-0.0321423,-0.00844532,0.0138227,0.0428478,-0.0266204,-0.0127315,0.000742672,0.0157613,-0.0188114
HG02032,EAS,0.2,1000GP,-0.0112158,-0.0464232,-0.0170121,0.0120118,0.00523868,0.00936859,0.0181396,0.00353146,-0.0327139,-0.015092
HG02035,EAS,0.2,1000GP,-0.00615861,-0.0352261,-0.00153645,0.00381957,-0.0209264,0.0136331,-0.014026,-0.0222001,0.0194888,-0.00156191
HG02040,EAS,0.2,1000GP,-0.011217,-0.0319802,-0.00755742,0.00999902,0.00911703,0.0120843,-0.00276326,0.00507991,-0.0437717,-0.0239836
HG02047,EAS,0.2,1000GP,0.00167645,-0.0248228,0.00719793,0.0101813,0.0138894,0.00888134,0.00822084,-0.0318133,0.00720545,0.018099
HG02048,EAS,0.2,1000GP,-0.00852444,-0.031549,0.00795317,0.0351224,0.0221176,0.000835228,-4.85E-06,0.0248931,0.00493614,-0.0164372
HG02049,EAS,0.2,1000GP,-0.011219,-0.0356127,-0.00680605,-0.00102591,0.0190281,0.00195424,-0.00369908,-0.00130839,-0.0185964,0.0414562
HG02050,EAS,0.2,1000GP,-0.0125455,-0.0303515,-0.0016916,0.0168695,0.00129936,-0.00679784,0.00640388,-0.0247638,0.0109275,-0.00700438
HG02051,AFR,0.2,1000GP,0.0330663,0.00247026,0.00888144,-0.00324776,0.0177101,-0.0174551,0.0117199,0.0204947,0.0384189,0.0227635
HG02052,AFR,0.2,1000GP,0.0320946,-0.00682352,-0.000697438,0.00959943,-0.00313108,-0.00586433,0.0342184,0.015471,0.0161651,-0.000417735
HG02053,AFR,0.2,1000GP,0.0383623,0.00270626,-0.0119021,-0.00479223,-0.0147288,-0.0010337,7.89E-05,-0.0222205,-0.00582757,-0.0125775
HG02054,AFR,0.2,1000GP,0.0306358,-0.00259674,-0.00698193,-0.00996289,0.0205753,-0.0226071,0.00720746,-0.0157841,0.0245541,-0.0200465
HG02057,EAS,0.2,1000GP,-0.0142413,-0.0387269,-0.00404901,0.00778234,0.0172177,0.00466511,-0.00419807,-0.0162853,0.00761295,-0.000578185
HG02058,EAS,0.2,1000GP,-0.0105399,-0.0338565,0.000635463,0.0176827,0.0320635,-0.0123021,-0.00188402,0.0136983,-0.00515887,-0.0258982
HG02060,EAS,0.2,1000GP,-0.00855754,-0.0424132,-0.00568858,0.0166857,0.0321584,0.00281818,-0.0207517,0.00937793,-0.0089528,-0.00235845
HG02061,EAS,0.2,1000GP,-0.0138905,-0.0336327,-0.000657549,-0.00204606,0.0397493,0.0105779,0.00201363,0.0129083,-0.0157952,0.0111827
HG02064,EAS,0.2,1000GP,-0.00831408,-0.0369172,0.00207717,-0.00499945,0.0120068,-0.00174646,-0.0217923,0.00011875,-0.00847375,0.0178775
HG02067,EAS,0.2,1000GP,-0.00998858,-0.0391642,0.00326744,0.0149261,0.0371316,0.00806383,-0.0201456,0.0263294,0.0149768,-0.00630552
HG02069,EAS,0.2,1000GP,-0.00939201,-0.0270411,-0.00282399,0.00950491,0.00455458,-0.0171327,-0.0281349,0.0323962,-0.00242124,0.00115318
HG02070,EAS,0.2,1000GP,-0.00904306,-0.036211,-0.0132482,0.0195086,0.0316385,0.000483634,-0.0189537,-0.0059145,-0.00732782,0.00842533
HG02072,EAS,0.2,1000GP,-0.0068348,-0.0316559,0.0026978,0.0146514,0.0291472,0.00509989,-0.0102953,0.00174658,-0.00671271,-0.045774
HG02073,EAS,0.2,1000GP,-0.00879956,-0.0370165,-0.0233026,0.0084488,0.025887,0.00133392,0.0326986,-0.0359408,0.00551776,0.00417887
HG02075,EAS,0.2,1000GP,-0.00854035,-0.0311531,-0.00769623,0.0104546,0.0267195,0.00631761,0.0235644,0.0335442,0.0119909,0.0132026
HG02076,EAS,0.2,1000GP,-0.00405045,-0.0378699,-0.00338041,0.009818,0.0472123,0.0278274,-0.0190151,-0.00280069,-0.0136546,0.00892218
HG02078,EAS,0.2,1000GP,-0.00889069,-0.0390128,-0.0138403,0.019965,0.0589708,0.0241297,0.00245038,-0.0075489,0.00389776,0.0240163
HG02079,EAS,0.2,1000GP,-0.00678238,-0.037807,-0.00319121,0.0290582,0.0553729,-0.00567928,0.011568,-0.0152973,0.0123332,-0.018633
HG02081,EAS,0.2,1000GP,-0.00209097,-0.0383113,0.00149316,0.00390973,0.0383724,-0.0351194,0.0196928,-0.0336708,0.00233489,0.0135516
HG02082,EAS,0.2,1000GP,-0.0126825,-0.040676,-0.00766822,0.00222959,0.0237846,0.0106898,-0.00806211,-0.00323903,-0.0012707,0.0145379
HG02084,EAS,0.2,1000GP,-0.0113791,-0.0423893,-0.000505138,0.0190343,0.0279225,0.0198979,-0.00825639,0.0102415,-0.0135857,0.0184896
HG02085,EAS,0.2,1000GP,-0.0103791,-0.0338858,0.000381043,0.014635,0.0108907,-0.0156017,0.0167871,-0.0189537,0.0138446,-0.0323572
HG02086,EAS,0.2,1000GP,-0.0148635,-0.0323914,0.00782835,0.00167862,0.00384653,0.00924625,0.00199921,0.00651466,-0.00655247,-0.0496793
HG02087,EAS,0.2,1000GP,-0.0131806,-0.0346992,-0.00711072,0.0151328,0.0280337,0.0312712,-0.00167562,-0.0156334,0.0122935,0.0115739
HG02088,EAS,0.2,1000GP,-0.00698374,-0.0298826,0.00397798,0.00884729,0.0148423,0.0161613,-0.0155517,0.00626343,-0.0075597,0.00148714
HG02089,AMR,0.2,1000GP,-0.0180304,-0.0106424,0.0220182,-0.0651365,0.00373955,-0.00679742,0.00790914,0.00463171,0.00687962,-0.0045859
HG02090,AMR,0.2,1000GP,-0.00501425,0.0049535,0.0143068,-0.0357403,-0.0014226,0.00589998,0.0159173,-0.00407069,-0.00439754,0.00359729
HG02095,AFR,0.2,1000GP,0.0249401,-0.00110524,0.00470707,0.023733,-0.0102444,-0.010724,0.0190044,0.00169881,-0.0201243,0.00835142
HG02102,AMR,0.2,1000GP,-0.0216169,-0.0103789,0.0222783,-0.0630531,0.00256009,-0.00863242,-0.012624,-0.0215159,-0.00853024,0.0206128
HG02104,AMR,0.2,1000GP,-0.0103363,-0.0147238,0.0430572,-0.0984675,-0.0215142,0.0164625,-0.0125034,-0.00870977,-0.0116623,0.0254973
HG02105,AMR,0.2,1000GP,-0.0118754,-0.00820609,0.0313251,-0.0963984,0.000954436,-0.00377173,-0.0117457,0.00388828,-0.0391903,-0.0102011
HG02107,AFR,0.2,1000GP,0.0384689,0.00944674,-0.00453001,0.0083475,0.0076614,-0.0184845,-0.00270305,0.0486078,-0.0114445,0.00967383
HG02108,AFR,0.2,1000GP,0.0271459,0.0080228,-0.00372669,-0.00169391,-0.0158775,0.0158763,-0.0173865,0.0383962,0.0145829,-0.00948921
HG02111,AFR,0.2,1000GP,0.0311418,-6.80E-05,-0.00952459,0.000625643,0.00725031,-0.00412872,0.00446166,-0.0153391,-0.0194424,0.0226587
HG02113,EAS,0.2,1000GP,-0.00411865,-0.0356275,-0.0039021,0.0194882,0.0061916,-0.0230437,0.00702017,0.00319287,0.0329543,-0.00663244
HG02116,EAS,0.2,1000GP,-0.00645864,-0.0336971,0.00460724,0.0245064,0.0375855,0.00538057,-0.0128162,0.00514663,0.0013559,-0.00202054
HG02121,EAS,0.2,1000GP,-0.00999041,-0.0335474,0.00449266,0.0261877,0.00832969,0.00444179,0.00708789,-0.00946725,-0.00259432,-0.0254129
HG02122,EAS,0.2,1000GP,-0.0079444,-0.0403818,0.00581509,0.0260203,0.0230579,-0.00233025,-0.0446329,-0.00286579,0.0138211,-0.0192884
HG02127,EAS,0.2,1000GP,-0.00656769,-0.0372441,0.00456212,0.00252941,0.0201306,0.0102714,-0.00449133,0.00191229,-0.0275096,0.0096739
